time_s,temperature_c,setpoint_c,equipment_state,requested_cooling_fraction,cooling_fraction,start_command,stop_command,flow_proven,reset_command
870.0,8.503187302404692,7.0,RUNNING,0.4509561907214076,0.4509561907214076,False,False,True,False
880.0,8.467073381179475,7.0,RUNNING,0.4401220143538424,0.4401220143538424,False,False,True,False
890.0,8.433551368176163,7.0,RUNNING,0.43006541045284885,0.43006541045284885,False,False,True,False
900.0,8.402435241273567,7.0,FAULT,0.42073057238207007,0.0,False,False,False,False
910.0,8.474205576201797,7.0,FAULT,0.4422616728605391,0.0,False,False,False,False
920.0,8.545975911130027,7.0,FAULT,0.46379277333900804,0.0,False,False,False,False
930.0,8.617746246058257,7.0,FAULT,0.485323873817477,0.0,False,False,False,False
940.0,8.689516580986487,7.0,FAULT,0.506854974295946,0.0,False,False,False,False
950.0,8.761286915914717,7.0,FAULT,0.528386074774415,0.0,False,False,True,False
960.0,8.833057250842947,7.0,OFF,0.549917175252884,0.0,False,False,True,True
970.0,8.904827585771177,7.0,OFF,0.5714482757313529,0.0,False,False,False,False
980.0,8.976597920699406,7.0,OFF,0.5929793762098219,0.0,False,False,False,False
990.0,9.048368255627636,7.0,OFF,0.6145104766882908,0.0,False,False,False,False
1000.0,9.120138590555866,7.0,OFF,0.6360415771667599,0.0,False,False,False,False
1010.0,9.191908925484096,7.0,OFF,0.6575726776452289,0.0,False,False,False,False
1020.0,9.263679260412326,7.0,OFF,0.6791037781236978,0.0,False,False,False,False
1030.0,9.335449595340556,7.0,OFF,0.7006348786021668,0.0,False,False,False,False
1040.0,9.407219930268786,7.0,OFF,0.7221659790806357,0.0,False,False,False,False
1050.0,9.478990265197016,7.0,OFF,0.7436970795591048,0.0,False,False,False,False
1060.0,9.550760600125246,7.0,OFF,0.7652281800375738,0.0,False,False,False,False
1070.0,9.622530935053476,7.0,OFF,0.7867592805160427,0.0,False,False,False,False
1080.0,9.694301269981706,7.0,OFF,0.8082903809945117,0.0,False,False,False,False
1090.0,9.766071604909936,7.0,OFF,0.8298214814729806,0.0,False,False,False,False
1100.0,9.837841939838166,7.0,OFF,0.8513525819514497,0.0,False,False,False,False
1110.0,9.909612274766396,7.0,OFF,0.8728836824299187,0.0,False,False,False,False
1120.0,9.981382609694625,7.0,OFF,0.8944147829083876,0.0,False,False,False,False
1130.0,10.053152944622855,7.0,OFF,0.9159458833868566,0.0,False,False,False,False
1140.0,10.124923279551085,7.0,OFF,0.9374769838653255,0.0,False,False,False,False
1150.0,10.196693614479315,7.0,OFF,0.9590080843437945,0.0,False,False,False,False
1160.0,10.268463949407545,7.0,OFF,0.9805391848222635,0.0,False,False,False,False
1170.0,10.340234284335775,7.0,OFF,1.0,0.0,False,False,False,False
1180.0,10.412004619264005,7.0,OFF,1.0,0.0,False,False,False,False
1190.0,10.483774954192235,7.0,OFF,1.0,0.0,False,False,False,False
1200.0,10.555545289120465,7.0,OFF,1.0,0.0,False,False,False,False
1210.0,10.627315624048695,7.0,OFF,1.0,0.0,False,False,False,False
1220.0,10.699085958976925,7.0,OFF,1.0,0.0,False,False,False,False
1230.0,10.770856293905155,7.0,OFF,1.0,0.0,False,False,False,False
1240.0,10.842626628833385,7.0,OFF,1.0,0.0,False,False,False,False
1250.0,10.914396963761615,7.0,OFF,1.0,0.0,False,False,False,False
1260.0,10.986167298689844,7.0,OFF,1.0,0.0,False,False,False,False
1270.0,11.057937633618074,7.0,OFF,1.0,0.0,False,False,False,False
1280.0,11.129707968546304,7.0,OFF,1.0,0.0,False,False,False,False
1290.0,11.201478303474534,7.0,OFF,1.0,0.0,False,False,False,False
1300.0,11.273248638402764,7.0,OFF,1.0,0.0,False,False,False,False
1310.0,11.345018973330994,7.0,OFF,1.0,0.0,False,False,False,False
1320.0,11.416789308259224,7.0,OFF,1.0,0.0,False,False,False,False
1330.0,11.488559643187454,7.0,OFF,1.0,0.0,False,False,False,False
1340.0,11.560329978115684,7.0,OFF,1.0,0.0,False,False,False,False
1350.0,11.632100313043914,7.0,OFF,1.0,0.0,False,False,False,False
