controller,anti_windup_enabled,time_s,supply_temperature_c,return_temperature_c,setpoint_c,control_error_c,proportional_term,integral_error_c_s,integral_term,unrestricted_command,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
PI_NO_ANTI_WINDUP,False,1370.0,8.348235677827759,11.506764560955862,7.0,1.348235677827759,0.40447070334832774,1765.1149905090472,1.7651149905090473,2.169585693857375,30.0,5.0,66.01325365737735,1.0,1.0,100.0,-1.3642420526593924e-12
PI_NO_ANTI_WINDUP,False,1380.0,8.185619666619038,11.33445234249951,7.0,1.1856196666190382,0.35568589998571143,1778.5973472873247,1.7785973472873249,2.134283247273036,30.0,5.0,65.81060292590186,1.0,1.0,100.0,-1.3642420526593924e-12
PI_NO_ANTI_WINDUP,False,1390.0,8.022034034685554,11.163109744767922,7.0,1.0220340346855536,0.3066102104056661,1790.453543953515,1.790453543953515,2.0970637543591812,30.0,5.0,65.6484823407215,1.0,1.0,100.0,-1.3642420526593924e-12
PI_NO_ANTI_WINDUP,False,1400.0,7.857672706172259,10.992542843616144,7.0,0.8576727061722593,0.2573018118516778,1800.6738843003704,1.8006738843003705,2.0579756961520483,30.0,5.0,65.5187858725772,1.0,1.0,100.0,-1.3642420526593924e-12
PI_NO_ANTI_WINDUP,False,1410.0,7.692690820395117,10.822596499728215,7.0,0.692690820395117,0.2078072461185351,1809.250611362093,1.809250611362093,2.017057857480628,30.0,5.0,65.41502869806175,1.0,1.0,100.0,5.684341886080801e-13
PI_NO_ANTI_WINDUP,False,1420.0,7.527212488806896,10.653146601651365,7.0,0.5272124888068959,0.15816374664206875,1816.177519566044,1.8161775195660441,1.9743412662081128,30.0,5.0,65.3320229584494,1.0,1.0,100.0,5.684341886080801e-13
PI_NO_ANTI_WINDUP,False,1430.0,7.3613370005698116,10.484093860223377,7.0,0.36133700056981155,0.10840110017094347,1821.449644454113,1.821449644454113,1.9298507446250566,30.0,5.0,65.26561836675951,1.0,1.0,100.0,-1.3642420526593924e-12
PI_NO_ANTI_WINDUP,False,1440.0,7.195143787013637,10.31535884411448,7.0,0.19514378701363722,0.05854313610409116,1825.063014459811,1.825063014459811,1.8836061505639021,30.0,5.0,65.21249469340759,1.0,1.0,100.0,5.684341886080801e-13
PI_NO_ANTI_WINDUP,False,1450.0,7.02869639320219,10.146878008260854,7.0,0.028696393202189974,0.008608917960656992,1827.0144523299473,1.8270144523299474,1.8356233702906044,30.0,5.0,65.16999575472607,1.0,1.0,100.0,-1.3642420526593924e-12
PI_NO_ANTI_WINDUP,False,1460.0,6.862045655186526,9.978600516611447,7.0,-0.13795434481347435,-0.0413863034440423,1827.3014162619693,1.8273014162619694,1.7859151128179271,30.0,5.0,65.13599660378085,1.0,1.0,100.0,5.684341886080801e-13
PI_NO_ANTI_WINDUP,False,1470.0,6.695232241807487,9.810485700325414,7.0,-0.3047677581925132,-0.09143032745775397,1825.9218728138346,1.8259218728138347,1.7344915453560807,30.0,5.0,65.10879728302467,1.0,1.0,100.0,-1.3642420526593924e-12
PI_NO_ANTI_WINDUP,False,1480.0,6.528288688137748,9.64250102433008,7.0,-0.47171131186225157,-0.14151339355867545,1822.8741952319094,1.8228741952319094,1.681360801673234,30.0,5.0,65.08703782641973,1.0,1.0,100.0,5.684341886080801e-13
PI_NO_ANTI_WINDUP,False,1490.0,6.3612410222354505,9.474620460567307,7.0,-0.6387589777645495,-0.19162769332936483,1818.1570821132868,1.8181570821132869,1.626529388783922,30.0,5.0,65.06963026113579,1.0,1.0,100.0,5.684341886080801e-13
PI_NO_ANTI_WINDUP,False,1500.0,6.194110066547105,9.30682318659058,7.0,-0.8058899334528951,-0.2417669800358685,1811.7694923356414,1.8117694923356416,1.570002512299773,30.0,5.0,65.05570420890864,1.0,1.0,100.0,5.684341886080801e-13
PI_NO_ANTI_WINDUP,False,1510.0,6.026912479029922,9.139092544442693,7.0,-0.9730875209700782,-0.2919262562910235,1803.7105930011126,1.8037105930011126,1.5117843367100892,30.0,5.0,65.04456336712693,1.0,1.0,100.0,2.5011104298755527e-12
PI_NO_ANTI_WINDUP,False,1520.0,5.8596615860496675,8.971415207757875,7.0,-1.1403384139503325,-0.34210152418509976,1793.9797177914118,1.7939797177914119,1.451878193606312,30.0,5.0,65.03565069370154,1.0,1.0,100.0,-1.3642420526593924e-12
