controller,time_s,supply_temperature_c,return_temperature_c,setpoint_c,control_error_c,proportional_term,integral_error_c_s,integral_term,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
P,1570.0,8.66035837640334,11.046718851564183,7.0,1.6603583764033392,0.49810751292100175,0.0,0.0,50.0,5.0,49.87493393086163,0.49810751292100175,0.49810751292100175,49.81075129210018,1.7541523789077473e-14
P,1580.0,8.660665470368706,11.047317253808863,7.0,1.6606654703687056,0.49819964111061166,0.0,0.0,50.0,5.0,49.88102227389929,0.49819964111061166,0.49819964111061166,49.81996411106117,-4.798383912429927e-13
P,1590.0,8.660957614688506,11.047886525225612,7.0,1.6609576146885061,0.4982872844065518,0.0,0.0,50.0,5.0,49.88681423022552,0.4982872844065518,0.4982872844065518,49.828728440655176,4.083400284571326e-13
P,1600.0,8.661235537126641,11.048428083932667,7.0,1.6612355371266414,0.4983706611379924,0.0,0.0,50.0,5.0,49.89232422824592,0.4983706611379924,0.4983706611379924,49.83706611379924,-2.4515944829772707e-12
P,1610.0,8.661499930018731,11.04894327901283,7.0,1.6614999300187314,0.4984499790056194,0.0,0.0,50.0,5.0,49.89756599397666,0.4984499790056194,0.4984499790056194,49.844997900561935,2.4868995751603507e-12
P,1620.0,8.661751451996793,11.049433393874185,7.0,1.6617514519967926,0.4985254355990378,0.0,0.0,50.0,5.0,49.9025525852375,0.4985254355990378,0.4985254355990378,49.85254355990378,-3.375077994860476e-13
P,1630.0,8.661990729629968,11.049899649447212,7.0,1.6619907296299683,0.49859721888899045,0.0,0.0,50.0,5.0,49.907296424180394,0.49859721888899045,0.49859721888899045,49.859721888899045,1.4388490399142029e-12
P,1640.0,8.662218358985381,11.050343207226254,7.0,1.6622183589853812,0.49866550769561435,0.0,0.0,50.0,5.0,49.911809328234234,0.49866550769561435,0.49866550769561435,49.866550769561435,-1.7763568394002505e-13
P,1650.0,8.662434907113003,11.050765172162931,7.0,1.6624349071130027,0.49873047213390076,0.0,0.0,50.0,5.0,49.9161025395435,0.49873047213390076,0.49873047213390076,49.87304721339007,-8.171241461241152e-13
P,1660.0,8.662640913458235,11.051166595418703,7.0,1.662640913458235,0.49879227403747045,0.0,0.0,50.0,5.0,49.92018675297378,0.49879227403747045,0.49879227403747045,49.879227403747045,-6.394884621840902e-13
