time_s,temperature_c,setpoint_c,cooling_fraction
640.0,8.10144431546937,7.0,0.3304332946408111
650.0,8.09416362297157,7.0,0.3282490868914708
660.0,8.087405468212845,7.0,0.32622164046385344
670.0,8.081132348484651,7.0,0.32433970454539535
680.0,8.075309452660393,7.0,0.32259283579811804
690.0,8.069904468019695,7.0,0.3209713404059085
700.0,8.064887400936941,7.0,0.31946622028108235
710.0,8.060230410439075,7.0,0.3180691231317226
720.0,8.055907653708998,7.0,0.31677229611269925
730.0,8.051895142677251,7.0,0.3155685428031754
740.0,8.048170610906157,7.0,0.31445118327184696
750.0,8.044713390027724,7.0,0.3134140170083171
760.0,8.041504295049657,7.0,0.3124512885148972
770.0,8.038525517892984,7.0,0.31155765536789504
780.0,8.03576052857052,7.0,0.31072815857115615
790.0,8.033193983457803,7.0,0.3099581950373409
800.0,8.030811640147434,7.0,0.3092434920442301
810.0,8.028600278414364,7.0,0.3085800835243093
820.0,8.026547626853525,7.0,0.30796428805605736
830.0,8.024642294782698,7.0,0.3073926884348093
840.0,8.022873709032744,7.0,0.3068621127098233
850.0,8.021232055274414,7.0,0.30636961658232414
860.0,8.019708223556155,7.0,0.3059124670668463
870.0,8.018293757750689,7.0,0.30548812732520664
880.0,8.016980808629826,7.0,0.3050942425889479
890.0,8.015762090307112,7.0,0.3047286270921335
900.0,8.014630839806602,7.0,0.30438925194198047
910.0,8.0135807795334,7.0,0.3040742338600202
920.0,8.012606082437703,7.0,0.3037818247313108
930.0,8.011701339679016,7.0,0.30351040190370476
940.0,8.010861530611145,7.0,0.3032584591833434
950.0,8.01008199492135,7.0,0.30302459847640506
960.0,8.0093584067691,7.0,0.30280752203073025
970.0,8.008686750780887,7.0,0.30260602523426616
980.0,8.008063299767905,7.0,0.30241898993037136
990.0,8.007484594042936,7.0,0.30224537821288067
1000.0,8.006947422221673,7.0,0.30208422666650186
1010.0,8.006448803401936,7.0,0.30193464102058076
1020.0,8.005985970621893,7.0,0.3017957911865679
1030.0,8.005556355505488,7.0,0.3016669066516465
1040.0,8.00515757400988,7.0,0.301547272202964
1050.0,8.004787413195775,7.0,0.30143622395873243
1060.0,8.004443818947275,7.0,0.3013331456841824
1070.0,8.004124884573068,7.0,0.3012374653719204
1080.0,8.003828840225719,7.0,0.3011486520677156
1090.0,8.003554043080332,7.0,0.30106621292409946
1100.0,8.003298968218107,7.0,0.3009896904654322
1110.0,8.003062200164177,7.0,0.300918660049253
1120.0,8.002842425032776,7.0,0.3008527275098329
1130.0,8.002638423236165,7.0,0.3007915269708496
1140.0,8.002449062716824,7.0,0.3007347188150472
1150.0,8.002273292665377,7.0,0.3006819877996131
1160.0,8.002110137689392,7.0,0.3006330413068177
1170.0,8.00195869240068,7.0,0.3005876077202037
1180.0,8.00181811639106,7.0,0.3005454349173181
1190.0,8.001687629568735,7.0,0.3005062888706206
1200.0,8.001566507829352,7.0,0.3004699523488057
1210.0,8.001454079037773,7.0,0.3004362237113318
1220.0,8.00134971929822,7.0,0.3004049157894661
1230.0,8.001252849492127,7.0,0.3003758548476382
1240.0,8.001162932064462,7.0,0.3003488796193386
1250.0,8.001079468040697,7.0,0.300323840412209
1260.0,8.001001994257871,7.0,0.30030059827736133
1270.0,8.000930080794388,7.0,0.3002790242383165
1280.0,8.000863328584265,7.0,0.3002589985752793
1290.0,8.00080136720262,7.0,0.30024041016078584
1300.0,8.000743852810087,7.0,0.3002231558430262
