time_s,supply_temperature_c,return_temperature_c,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
590.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
600.0,8.0,9.435406698564593,50.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
610.0,8.0,9.531100478468899,50.0,5.0,31.99999999999998,0.3,0.3,30.0,-1.7621459846850485e-12
620.0,8.009569377990431,9.617224880382775,50.0,5.0,33.59999999999999,0.30287081339712923,0.30287081339712923,30.287081339712923,1.9610979506978765e-12
630.0,8.02542066344635,9.695693779904307,50.0,5.0,34.90870813397128,0.3076261990339052,0.3076261990339052,30.76261990339052,3.410605131648481e-12
640.0,8.045258406176401,9.767900918019278,50.0,5.0,36.003228497516105,0.3135775218529204,0.3135775218529204,31.357752185292043,-1.4210854715202004e-13
650.0,8.067485565565033,9.834871116595755,50.0,5.0,36.9383580165421,0.3202456696695098,0.3202456696695098,32.02456696695098,-2.5295321393059567e-12
660.0,8.0909965275248,9.897367011253449,50.0,5.0,37.75314310992877,0.3272989582574398,0.3272989582574398,32.72989582574398,2.7569058147491887e-12
670.0,8.115031203525684,9.95596441264135,50.0,5.0,38.47550407051743,0.33450936105770507,0.33450936105770507,33.45093610577051,1.3073986337985843e-12
680.0,8.13907219857232,10.011105541490549,50.0,5.0,39.125496866990986,0.341721659571696,0.341721659571696,34.1721659571696,7.105427357601002e-13
690.0,8.162772346466202,10.063136656959491,50.0,5.0,39.71761408930975,0.34883170393986057,0.34883170393986057,34.883170393986056,-1.4495071809506044e-12
700.0,8.185903656013204,10.112334675670928,50.0,5.0,40.26240831084642,0.3557710968039613,0.3557710968039613,35.57710968039613,-1.9895196601282805e-12
710.0,8.208321352809618,10.158926023465922,50.0,5.0,40.767637616716755,0.3624964058428853,0.3624964058428853,36.24964058428853,2.5579538487363607e-12
720.0,8.229938563491093,10.203100006161057,50.0,5.0,41.23907415180224,0.36898156904732776,0.36898156904732776,36.89815690473278,-3.126388037344441e-13
730.0,8.250708502472285,10.245018311654826,50.0,5.0,41.6810750119151,0.37521255074168564,0.37521255074168564,37.521255074168565,-4.263256414560601e-13
740.0,8.270611947150499,10.284821780497337,50.0,5.0,42.09698551694891,0.3811835841451497,0.3811835841451497,38.11835841451497,-7.531752999057062e-13
750.0,8.28964844046358,10.322635246923419,50.0,5.0,42.489424255010626,0.386894532139074,0.386894532139074,38.6894532139074,-6.252776074688882e-13
760.0,8.307830120086084,10.3585710160382,50.0,5.0,42.86048472539921,0.39234903602582527,0.39234903602582527,39.23490360258253,2.5579538487363607e-13
770.0,8.325177398185685,10.392731376203754,50.0,5.0,43.21187814057763,0.3975532194557056,0.3975532194557056,39.75532194557056,-2.842170943040401e-14
